Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
Information Technology (IT) Fundamentals for Everyone,4.6,Beginner level,18 hours (approximately),Flexible schedule,60 reviews,"Define operating systems, computer components, programming concepts, databases, and explain the differences between commercial and open software  Summarize the importance of computer networks, including wired and wireless connections; explore network resources and storage types in MS Windows  Describe how to protect against security threats, address public browsing security concerns, and list password management best practices  List the benefits of cloud computing, describe the cloud infrastructure layer, virtual machines, and summarize features of ticketing systems","['Project Management', 'Information Technology', 'Cloud Computing', 'security', 'Operating Systems']","['Introduction to Hardware and Operating Systems', 'Introduction to Software, Programming, and Databases', 'Introduction to Networking and Storage', 'Introduction to Cybersecurity Essentials', 'Introduction to Cloud Computing', 'Final Assessment and (Bonus) IT Support and Operations']",['IBM Skills Network Team'],['IBM'],Information Technology,https://www.coursera.org/learn/information-technology-it-fundamentals-for-everyone
Google IT Support Professional Certificate,4.8,Beginner level,6 months at 10 hours a week,Flexible schedule,"170,527 reviews","Gain skills required to succeed in an entry-level IT jobLearn to perform day-to-day IT support tasks including computer assembly, wireless networking, installing programs, and customer serviceLearn how to provide end-to-end customer support, ranging from identifying problems to troubleshooting and debuggingLearn to use systems including Linux, Domain Name Systems, Command-Line Interface, and Binary Code","['Customer Service', 'Network Protocols', 'Cloud Computing', 'Encryption Algorithms and Techniques', 'Debugging']","['Technical Support Fundamentals', 'The Bits and Bytes of Computer Networking', 'Operating Systems and You: Becoming a Power User', ' System Administration and IT Infrastructure Services', ' IT Security: Defense against the digital dark arts ']",['Google Career Certificates'],['Google'],Information Technology,https://www.coursera.org/professional-certificates/google-it-support
 System Administration and IT Infrastructure Services,4.7,Beginner level,26 hours (approximately),Flexible schedule,"24,044 reviews",,"['Directory Service', 'Lightweight Directory Access Protocol (LDAP)', 'Backup']","['What is System Administration?', 'Network and Infrastructure Services', 'Software and Platform Services', 'Directory Services', 'Data Recovery & Backups', 'Final Project']",['Google Career Certificates'],['Google'],Information Technology,https://www.coursera.org/learn/system-administration-it-infrastructure-services
IBM IT Support  Professional Certificate,4.8,Beginner level,3 months at 10 hours a week,Flexible schedule,"1,315 reviews","Master the most up-to-date practical skills and tools used by IT support professionals and how to apply them in an everyday professional settingLearn hardware and software skills that help users select, install, and configure their devices, operations systems, and applicationsDevelop a strong IT foundation in topics including cybersecurity, networking, cloud, databases, and be prepared for CompTIA certification examsPractice customer service and troubleshooting skills by using ticketing systems, hands-on labs, demos, and interactive exercises","['Customer Service', 'Technical Support', 'Cloud', 'Troubleshooting', 'IT Fundamentals', 'Software Application Development', 'Computer Programming', 'Software Development Process', 'Database basics', 'Wireless Networks', 'Network Troubleshooting', 'Network Architecture', 'Cloud Storage', 'Networking Hardware', 'Cybersecurity', 'Cryptography', 'Cyberattacks', 'Information Security (INFOSEC)', 'Application Security', 'Cloud Computing', 'Hybrid Multicloud', 'Devops', 'Iaas PaaS Saas', 'Cloud Native', 'Operating Systems', 'hardware', 'Information Technology (IT) Support', 'Ticketing Systems', 'Service Level Agreements (SLA)', 'Certification Test', 'CompTIA ITF+', 'Exam Practice']","['Introduction to Technical Support ', 'Introduction to Hardware and Operating Systems', 'Introduction to Software, Programming, and Databases ', 'Introduction to Networking and Storage', 'Introduction to Cybersecurity Essentials', 'Introduction to Cloud Computing', 'Practice Exam for CompTIA ITF+ Certification', 'Technical Support (IT) Case Studies and Capstone', 'Tech Support Career Guide and Interview Preparation']","['Roopa Raghavan', 'IBM Skills Network Team', 'Rav Ahuja', 'Amy Norton']",['IBM'],Information Technology,https://www.coursera.org/professional-certificates/ibm-technical-support
Information​ ​Systems Specialization,4.8,Beginner level,1 months at 10 hours a week,Flexible schedule,"1,209 reviews",Utilize conceptual frameworks to align IT investments with business strategySpecify business requirements as information system specificationsAssess the fit between business requirements and enterprise systems featuresEvaluate technological alternatives for developing the IT infrastructure for the organization,"['Project Management', 'Critical Thinking', 'Management']","['IS/IT Governance', 'Analysis for Business Systems', 'Enterprise Systems', 'IT Infrastructure and Emerging Trends']","['Jason Chan', 'Soumya Sen', 'Ken Reily', 'Gautam Ray']",['University of Minnesota'],Information Technology,https://www.coursera.org/specializations/information-systems
Information Technology (IT) and Cloud Fundamentals Specialization,4.8,Beginner level,2 months at 10 hours a week,Flexible schedule,388 reviews,"Operating systems history, installation, configuration, and hardware connectors and peripheral identification and troubleshooting techniques.Software management, cloud computing characteristics, benefits and trends, web browser essentials, software development basics, and database basics.Commonly used storage and network types, common security risks, and secure browsing practices.Application of technical and troubleshooting skills for an IT customer support role.","['Software Application Development', 'Computer Programming', 'Software Development Process', 'Database basics', 'IT Fundamentals', 'Technical Support', 'Operating Systems', 'Troubleshooting', 'hardware', 'Cybersecurity', 'Cryptography', 'Cyberattacks', 'Information Security (INFOSEC)', 'Application Security', 'Cloud Computing', 'Hybrid Multicloud', 'Devops', 'Iaas PaaS Saas', 'Cloud Native', 'Certification Test', 'CompTIA ITF+', 'Cloud', 'Exam Practice', 'Wireless Networks', 'Network Troubleshooting', 'Network Architecture', 'Cloud Storage', 'Networking Hardware']","['Introduction to Hardware and Operating Systems', 'Introduction to Software, Programming, and Databases ', 'Introduction to Cloud Computing', 'Introduction to Networking and Storage', 'Introduction to Cybersecurity Essentials', 'Practice Exam for CompTIA ITF+ Certification']","['Roopa Raghavan', 'IBM Skills Network Team', 'Rav Ahuja']",['IBM'],Information Technology,https://www.coursera.org/specializations/it-cloud-fundamentals
Technical Support Fundamentals,4.8,Beginner level,28 hours (approximately),Flexible schedule,"147,559 reviews",,"['Binary Code', 'Customer Support', 'Linux', 'Troubleshooting']","['Introduction to IT ', 'Hardware', 'Operating System', 'Networking', 'Software', 'Troubleshooting']",['Google Career Certificates'],['Google'],Information Technology,https://www.coursera.org/learn/technical-support-fundamentals
Computer Hardware and Software,4.4,Beginner level,11 hours (approximately),Flexible schedule,111 reviews,Identify the basic hardware components of a computer. Explain how software creates a functional and productive computer. Build a basic computer.,"['Building Computers', 'Computer Software', 'Computer Hardware']","['Hardware', 'Software', 'Networking and the Internet']",['Tim Carrington'],"['University of California, Irvine']",Information Technology,https://www.coursera.org/learn/computer-hardware-software
Introduction to Information Technology and AWS Cloud,4.8,Beginner level,6 hours (approximately),Flexible schedule,87 reviews,Gain a foundational understanding of how computers workLearn how computers talk to each other to exchange data,"['Cloud Computing Security', 'Project Management', 'Data Analysis', 'Information Technology', 'Cloud Computing']","['Module 1: Foundational IT Knowledge', 'Week 2: IT and the Internet', 'Week 3: The AWS Cloud']","['Morgan Willis', 'Rafael Lopes']",['Amazon Web Services'],Information Technology,https://www.coursera.org/learn/information-technology-and-aws
Crash Course on Python,4.8,Beginner level,39 hours (approximately),Flexible schedule,"35,221 reviews","Understand what Python is and why Python is relevant to automationWrite short Python scripts to perform automated actionsUnderstand how to use the basic Python structures: strings, lists, and dictionariesCreate your own Python objects","['Python Programming', 'Basic Python Syntax', 'Basic Python Data Structures', 'Object-Oriented Programming (OOP)', 'Fundamental Programming Concepts']","['Hello Python!', 'Basic Python Syntax', 'Loops', 'Strings, Lists and Dictionaries', 'Final Project']",['Google Career Certificates'],['Google'],Information Technology,https://www.coursera.org/learn/python-crash-course
