Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
Creative Thinking: Techniques and Tools for Success,4.7,Beginner level,Approx. 19 hours to complete,Flexible schedule,"4,060 reviews",Understand what creative thinking techniques areComprehend their importance in tackling global challenges as well as in everyday problem-solving scenariosSelect and apply the appropriate technique based on the opportunity to seize or the problem to tackle,"['Creative Thinking', 'Problem Solving', 'Creativity', 'Brainstorming']","['Introduction to the Principles of Creativity', 'Creativity Tools', 'Thinking Styles', 'Morphological Analysis', 'TRIZ - the Theory of Inventive Problem Solving', 'SCAMPER', 'Using the Tools in Combination']",['Peter Childs'],['Imperial College London'],Personal Development,https://www.coursera.org/learn/creative-thinking-techniques-and-tools-for-success
The Science of Well-Being,4.9,,Approx. 19 hours to complete,Flexible schedule,"37,113 reviews",,"['Gratitude', 'Happiness', 'Meditation', 'Savoring']","['Introduction', 'Misconceptions About Happiness', 'Why Our Expectations are so Bad', 'How Can We Overcome Our Biases', 'Stuff that Really Makes Us Happy', 'Putting Strategies into Practice', 'Start Your Final Rewirement Challenge', 'Continue Your Rewirement Challenge', 'Continue Your Rewirement Challenge', 'Submit Your Final Assignment']",['Laurie Santos'],['Yale University'],Personal Development,https://www.coursera.org/learn/the-science-of-well-being
Successful Negotiation: Essential Strategies and Skills,4.8,Beginner level,Approx. 17 hours to complete,Flexible schedule,"18,974 reviews",Understand the negotiation strategies and skills necessary for success.Use a negotiation analysis to prepare for negotiations.Key psychological tools to achieve success.Practice negotiations to find out what you do well and how you can improve. ,"['Negotiation Analysis', 'Negotiation', 'Developing Power', 'Decision Trees', 'Psychological Tools']","['Welcome to Successful Negotiation!', 'Prepare: Plan Your Negotiation Strategy', 'Negotiate: Use Key Tactics for Success', 'Close: Create a Contract', 'Perform and Evaluate: The End Game', 'Practice Your Negotiation Skills with an Interactive Experience and Live Negotiations', 'Final Examination']",['George Siedel'],['University of Michigan'],Personal Development,https://www.coursera.org/learn/negotiation-skills
Learning How to Learn: Powerful mental tools to help you master tough subjects,4.8,Beginner level,Approx. 15 hours to complete,Flexible schedule,"88,415 reviews",,"['Test Preparation', 'Learning To Learn', 'Pomodoro Technique', 'Meta Learning']","['What is Learning?', 'Chunking', 'Procrastination and Memory', 'Renaissance Learning  and Unlocking Your Potential']","['Barbara Oakley', 'Dr. Terrence Sejnowski']",['Deep Teaching Solutions'],Personal Development,https://www.coursera.org/learn/learning-how-to-learn
Preparation for Job Interviews,4.4,Beginner level,1 hour,,632 reviews,Prepare for 5 Different types of job interviews; Prepare for the most common interview questions; Prepare for best practices BEFORE the job interview,"['Communication', 'Business Writing', 'Self-representation', 'Job Readiness', 'listening']",['Learn step-by-step'],['Dianna Eckford'],['Coursera Project Network'],Personal Development,https://www.coursera.org/projects/preparation-for-job-interviews
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,4.8,Beginner level,Approx. 10 hours to complete,Flexible schedule,"12,590 reviews",,"['Learning To Learn', 'Lifelong Learning', 'Pomodoro Technique', 'Meta Learning']","['Change IS possible', 'Getting Deeper into Happy Learning', 'Learning and Careers', 'Adopting a Learning Lifestyle']","['Barbara Oakley', 'Dr. Terrence Sejnowski']",['McMaster University'],Personal Development,https://www.coursera.org/learn/mindshift
Introduction to Psychology ,4.9,Beginner level,Approx. 14 hours to complete,Flexible schedule,"27,546 reviews",,"['Critical Thinking', 'Problem Solving', 'analytical thinking', 'abstract thinking', 'reasoning']","['Welcome to Introduction to Psychology ', 'Foundations ', 'Development and Language ', 'Cognition', 'Self and others ', 'Variation', 'The good life']",['Paul Bloom'],['Yale University'],Personal Development,https://www.coursera.org/learn/introduction-psychology
The Arts and Science of Relationships: Understanding Human Needs,4.5,Beginner level,Approx. 31 hours to complete,Flexible schedule,"1,635 reviews",,"['Psychology', 'Assertiveness', 'Communication', 'Building Relationships']","['Module 1 - Relationships in Our Lives', 'Module 2 - Getting Started', 'Module 3 - Communication', 'Module 4 - Building Relationships that Work for You', 'Module 5 - Challenges, Endings, and Transformation', 'Module 6 - Relationships & Self']",['A. Ka Tat Tsang'],['University of Toronto'],Personal Development,https://www.coursera.org/learn/human-needs
Developing Interpersonal Skills ,4.7,Beginner level,3 hours (approximately),Flexible schedule,267 reviews,Identify and analyze different communication styles and understand their strengths and weaknesses Demonstrate active listening skills and questioning styles to explore issues and enhance understanding Identify conflict response styles; approach and effectively mediate workplace conflictsDetermine ways to build and maintain trust and increase your influence and eminence in the workplace,"['Communication', 'Soft skills', 'Listening Skills', 'People Management', 'Organizational Conflict']",['Interpersonal Skills'],['IBM Skills Network Team'],['IBM'],Personal Development,https://www.coursera.org/learn/interpersonal-skills
English for Career Development,4.8,,Approx. 40 hours to complete,Flexible schedule,"14,837 reviews",,"['Communication', 'English Language', 'Career Development', 'Writing']","['Unit 1: Entering the Job Market', 'Unit 2: Resumes', 'Unit 3: Writing a Cover Letter', 'Unit 4: Networking', 'Unit 5: Interviewing For a Job']","['Robyn Turner', 'Brian McManus']",['University of Pennsylvania'],Personal Development,https://www.coursera.org/learn/careerdevelopment
