Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
Computer Science: Programming with a Purpose,4.7,Beginner level,Approx. 88 hours to complete,Flexible schedule,"1,096 reviews",,"['Programming Principles', 'Computer Science', 'Algorithms', 'Java Programming']","['BASIC PROGRAMMING CONCEPTS', 'CONDITIONALS AND LOOPS', 'ARRAYS', 'INPUT AND OUTPUT', 'FUNCTIONS AND LIBRARIES', 'RECURSION', 'PERFORMANCE', 'ABSTRACT DATA TYPES', 'CREATING DATA TYPES', 'PROGRAMMING LANGUAGES']","['Kevin Wayne', 'Robert Sedgewick']",['Princeton University'],Computer Science,https://www.coursera.org/learn/cs-programming-java
"Python for Data Science, AI & Development",4.6,Beginner level,26 hours (approximately),Flexible schedule,"34,702 reviews","Learn Python - the most popular programming language and for Data Science and Software Development.Apply Python programming logic Variables, Data Structures, Branching, Loops, Functions, Objects & Classes.Demonstrate proficiency in using Python libraries such as Pandas & Numpy, and developing code using Jupyter Notebooks.Access and web scrape data using APIs and Python libraries like Beautiful Soup. ","['Data Science', 'Data Analysis', 'Python Programming', 'Numpy', 'Pandas']","['Python Basics ', 'Python Data Structures ', 'Python Programming Fundamentals ', 'Working with Data in Python ', 'APIs, and Data Collection']",['Joseph Santarcangelo'],['IBM'],Computer Science,https://www.coursera.org/learn/python-for-applied-data-science-ai
"Computer Science:  Algorithms, Theory, and Machines",4.7,Intermediate level,Approx. 20 hours to complete,Flexible schedule,503 reviews,,[],"['INFORMATION ABOUT LECTURES 1–10', 'SORTING AND SEARCHING', 'STACKS AND QUEUES', 'SYMBOL TABLES', 'INTRODUCTION TO THE THEORY OF COMPUTING', 'TURING MACHINES', 'INTRACTABILITY', 'A COMPUTING MACHINE', 'VON NEUMANN MACHINES', 'COMBINATIONAL CIRCUITS', 'CENTRAL PROCESSING UNIT']","['Kevin Wayne', 'Robert Sedgewick']",['Princeton University'],Computer Science,https://www.coursera.org/learn/cs-algorithms-theory-machines
Introduction to Computer Science and Programming Specialization,4.2,Beginner level,2 months at 10 hours a week,Flexible schedule,"1,037 reviews","1. Use the Javascript language to create interactive programs in the browser with 2D graphics.2. Convert between number bases, work with modular arithmetic, sequences and series and plot graphs.3. Develop and use mental models to describe the workings of a range of computer systems.","['Computer Programming', 'Mathematics', 'Problem Solving', 'JavaScript', 'Computer Graphics (CG)']","['Introduction to Computer Programming ', 'How Computers Work', 'Mathematics for Computer Science']","['Dr Matthew Yee-King', 'Dr Edward Anstead', 'Prof Marco Gillies', 'Dr Simon Katan', 'Omar Karakchi']","['University of London', 'Goldsmiths, University of London']",Computer Science,https://www.coursera.org/specializations/introduction-computer-science-programming
Learn to Program: The Fundamentals,4.7,Beginner level,Approx. 25 hours to complete,Flexible schedule,"6,322 reviews",,"['Python Syntax And Semantics', 'Computer Programming', 'Python Programming', 'Idle (Python)']","['Python, Variables, and Functions', 'Strings and Designing Functions', 'Booleans, Import, Namespaces, and if Statements', 'For Loops and Fancy String Manipulation', 'While Loops, Lists, and Mutability', 'For Loops Over Indices, Parallel and Nested Lists and Strings, and Files', 'Tuples and Dictionaries']","['Paul Gries', 'Jennifer Campbell']",['University of Toronto'],Computer Science,https://www.coursera.org/learn/learn-to-program
Google Data Analytics Professional Certificate,4.8,Beginner level,6 months at 10 hours a week,Flexible schedule,"130,425 reviews","Gain an immersive understanding of the practices and processes used by a junior or associate data analyst in their day-to-day jobLearn key analytical skills (data cleaning, analysis, & visualization) and tools (spreadsheets, SQL, R programming, Tableau) Understand how to clean and organize data for analysis, and complete analysis and calculations using spreadsheets, SQL and R programmingLearn how to visualize and present data findings in dashboards, presentations and commonly used visualization platforms","['Data Analysis', 'Creating case studies', 'Data Visualization', 'Data Cleansing', 'Developing a portfolio', 'Data Collection', 'Spreadsheet', 'Metadata', 'SQL', 'Data Ethics', 'Data Aggregation', 'Data Calculations', 'R Markdown', 'R Programming', 'Rstudio', 'Tableau Software', 'Presentation', 'Data Integrity', 'Sample Size Determination', 'Decision-Making', 'Problem Solving', 'Questioning']","['Foundations: Data, Data, Everywhere', 'Ask Questions to Make Data-Driven Decisions', 'Prepare Data for Exploration', 'Process Data from Dirty to Clean', 'Analyze Data to Answer Questions', 'Share Data Through the Art of Visualization', 'Data Analysis with R Programming', 'Google Data Analytics Capstone: Complete a Case Study']",['Google Career Certificates'],['Google'],Computer Science,https://www.coursera.org/professional-certificates/google-data-analytics
Google Cybersecurity Professional Certificate,4.8,Beginner level,6 months at 7 hours a week,Flexible schedule,"17,333 reviews","Understand the importance of cybersecurity practices and their impact for organizations.Identify common risks, threats, and vulnerabilities, as well as techniques to mitigate them.Protect networks, devices, people, and data from unauthorized access and cyberattacks using Security Information and Event Management (SIEM) tools.Gain hands-on experience with Python, Linux, and SQL.","['Python Programming', 'Security Information and Event Management (SIEM) tools', 'SQL', 'Linux', 'Intrusion Detection Systems (IDS)']","['Foundations of Cybersecurity', 'Play It Safe: Manage Security Risks', 'Connect and Protect: Networks and Network Security', 'Tools of the Trade: Linux and SQL', 'Assets, Threats, and Vulnerabilities', 'Sound the Alarm: Detection and Response', 'Automate Cybersecurity Tasks with Python', 'Put It to Work: Prepare for Cybersecurity Jobs']",['Google Career Certificates'],['Google'],Computer Science,https://www.coursera.org/professional-certificates/google-cybersecurity
IBM Full Stack Software Developer Professional Certificate,4.5,Beginner level,4 months at 10 hours a week,Flexible schedule,"5,163 reviews","Master the most up-to-date practical skills and tools that full stack developers use in their daily rolesLearn how to deploy and scale applications using Cloud Native methodologies and tools such as Containers, Kubernetes, Microservices, and ServerlessDevelop software with front-end development languages and tools such as HTML, CSS, JavaScript, React, and BootstrapBuild your GitHub portfolio by applying your skills to multiple labs and hands-on projects, including a capstone","['Git (Software)', 'Cloud Applications', 'HTML', 'Cloud Computing', 'Distributed Version Control (DRCS)', 'open source', 'JavaScript', 'Hybrid Multicloud', 'Devops', 'Cascading Style Sheets (CSS)', 'Iaas PaaS Saas', 'Cloud Native']","['Introduction to Cloud Computing', 'Introduction to Web Development with HTML, CSS, JavaScript', 'Getting Started with Git and GitHub', 'Developing Front-End Apps with React', 'Developing Back-End Apps with Node.js and Express', 'Python for Data Science, AI & Development', 'Developing AI Applications with Python and Flask', 'Django Application Development with SQL and Databases', 'Introduction to Containers w/ Docker, Kubernetes & OpenShift', 'Application Development using Microservices and Serverless ', 'Full Stack Cloud Development Capstone Project', 'Full Stack Software Developer Assessment']","['Michelle Saltoun', 'Alex Parker', 'IBM Skills Network Team', 'Abhishek Gagneja', 'Yan Luo', 'Joseph Santarcangelo', 'Rav Ahuja', 'Upkar Lidder', 'Sachin Jambur', 'Lavanya Thiruvali Sunderarajan', 'Ramesh Sannareddy']",['IBM'],Computer Science,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer
Crash Course on Python,4.8,Beginner level,39 hours (approximately),Flexible schedule,"35,221 reviews","Understand what Python is and why Python is relevant to automationWrite short Python scripts to perform automated actionsUnderstand how to use the basic Python structures: strings, lists, and dictionariesCreate your own Python objects","['Python Programming', 'Basic Python Syntax', 'Basic Python Data Structures', 'Object-Oriented Programming (OOP)', 'Fundamental Programming Concepts']","['Hello Python!', 'Basic Python Syntax', 'Loops', 'Strings, Lists and Dictionaries', 'Final Project']",['Google Career Certificates'],['Google'],Computer Science,https://www.coursera.org/learn/python-crash-course
Google IT Support Professional Certificate,4.8,Beginner level,6 months at 10 hours a week,Flexible schedule,"170,527 reviews","Gain skills required to succeed in an entry-level IT jobLearn to perform day-to-day IT support tasks including computer assembly, wireless networking, installing programs, and customer serviceLearn how to provide end-to-end customer support, ranging from identifying problems to troubleshooting and debuggingLearn to use systems including Linux, Domain Name Systems, Command-Line Interface, and Binary Code","['Customer Service', 'Network Protocols', 'Cloud Computing', 'Encryption Algorithms and Techniques', 'Debugging']","['Technical Support Fundamentals', 'The Bits and Bytes of Computer Networking', 'Operating Systems and You: Becoming a Power User', ' System Administration and IT Infrastructure Services', ' IT Security: Defense against the digital dark arts ']",['Google Career Certificates'],['Google'],Computer Science,https://www.coursera.org/professional-certificates/google-it-support
