Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
FPGA Design for Embedded Systems Specialization,4.5,Intermediate level,2 months at 10 hours a week,Flexible schedule,557 reviews,"Create in the FPGA a working system on a chip design with Nios II soft processor, RAM and FLASH memory, and several peripherals.Understand and practice all aspects of FPGA development, including conception, design, implementation, and debugging.Understand the rationale for each phase of the hardware development flow, including  fitting, timing constraints, simulation, and programming.Apply hierarchical design methods to create bigger designs in VHDL or Verilog","['Simulation for Verification', 'Programmable Logic Design', 'Writing Code in Verilog', 'VHDL Coding', 'Softcore Processor Design']","['Introduction to FPGA Design for Embedded Systems', 'Hardware Description Languages for FPGA Design', 'FPGA Softcore Processors and IP Acquisition', 'FPGA Capstone:  Building FPGA Projects']","['Benjamin Spriggs', 'Timothy Scherr']",['University of Colorado Boulder'],Physical Science and Engineering,https://www.coursera.org/specializations/fpga-design
Optical Engineering Specialization,4.3,Advanced level,2 months at 10 hours a week,Flexible schedule,313 reviews,"Specify an optical system and potential solutions to meet those specsTransform layouts into optical designs including real optical componentsAnalyze you designs in an industry standard optical design code, OpticStudio by Zemax,  to validate and optimize the design","['optical system specification', 'optimization of optical systems', 'optical design']","['First Order Optical System Design', 'Optical Efficiency and Resolution', 'Design of High-Performance Optical Systems']",['Robert McLeod'],['University of Colorado Boulder'],Physical Science and Engineering,https://www.coursera.org/specializations/optical-engineering
Renewable Energy Specialization,4.8,Beginner level,1 months at 10 hours a week,Flexible schedule,472 reviews,"Understand and evaluate the operations and performance of renewable energy technologies.Explain how renewable energy systems integrate with electricity grid operations and market structures.Explore how issues such as electric vehicles, hydrogen, and storage will influence renewable energy, and assess future pathways for renewables.","['Wind Energy', 'Sustainability', 'Renewable Energy', 'Solar Energy', 'Energy Projects']","['Renewable Energy Technology Fundamentals', 'Renewable Power and Electricity Systems', 'Renewable Energy Projects', 'Renewable Energy Futures']","['Stephen R. Lawrence', 'Paul Komor']",['University of Colorado Boulder'],Physical Science and Engineering,https://www.coursera.org/specializations/renewable-energy
Algorithms for Battery Management Systems Specialization,4.8,Intermediate level,3 months at 10 hours a week,Flexible schedule,"1,659 reviews",How to design equivalent-circuit models for lithium-ion battery cellsHow to implement state-of-charge (SOC) estimators for lithium-ion battery cellsHow to implement state-of-health (SOH) estimators for lithium-ion battery cellsHow to design balancers and power-limits estimators for lithium-ion battery packs,"['Implement state-of-health estimators for lithium-ion battery cells', 'Design equivalent-circuit models for lithium-ion battery cells', 'Implement state-of-charge estimators for lithium-ion battery cells', 'Understand how lithium-ion battery cells work and basic requirements of battery-management systems', 'Understand balancing requirements and implement power estimators for lithium-ion battery packs']","['Introduction to battery-management systems', 'Equivalent Circuit Cell Model Simulation', 'Battery State-of-Charge (SOC) Estimation', 'Battery State-of-Health (SOH) Estimation', 'Battery Pack Balancing and Power Estimation']",['Gregory Plett'],"['University of Colorado System', 'University of Colorado Boulder']",Physical Science and Engineering,https://www.coursera.org/specializations/algorithms-for-battery-management-systems
Robotics Specialization,4.3,Beginner level,3 months at 10 hours a week,Flexible schedule,"3,058 reviews",Motion PlanningMatlabEstimation,"['Motion Planning', 'Particle Filter', 'Matlab']","['Robotics: Aerial Robotics', 'Robotics: Computational Motion Planning', 'Robotics: Mobility', 'Robotics: Perception', 'Robotics: Estimation and Learning', 'Robotics: Capstone']","['Jianbo Shi', 'CJ Taylor', 'Daniel E. Koditschek', 'Sid Deliwala', 'Kostas Daniilidis', 'Daniel Lee', 'Vijay Kumar']",['University of Pennsylvania'],Physical Science and Engineering,https://www.coursera.org/specializations/robotics
Autodesk CAD/CAM/CAE for Mechanical Engineering Specialization,4.8,Intermediate level,1 months at 10 hours a week,Flexible schedule,"3,658 reviews",Demonstrate creative confidence when choosing a design strategy for developing mechanical designs based on engineering requirements.Prepare designs for manufacture applying industry-based computer-aided manufacturing skills and manufacturing principles.Create adaptive toolpaths to remove material from designs efficiently.Demonstrate simulation driven design (SDD) for new product development.,"['Computer-Aided Manufacturing', 'Mechanical Engineering', 'Computer-Aided Engineering (CAE)', 'Manufacturing Process Management', 'Computed Aided Design']","['Introduction to Mechanical Engineering Design and Manufacturing with Fusion 360', 'Modeling and Design for Mechanical Engineers with Autodesk Fusion 360', 'Simulation Analysis for Mechanical Engineers with Autodesk Fusion 360', 'CAM and Design Manufacturing for Mechanical Engineers with Autodesk Fusion 360']",[],['Autodesk'],Physical Science and Engineering,https://www.coursera.org/specializations/autodesk-cad-cam-cae-mechanical-engineering
An Introduction to Programming the Internet of Things (IOT) Specialization,4.7,Beginner level,2 months at 10 hours a week,Flexible schedule,"12,195 reviews",,"['Arduino', 'Python Programming', 'Internet Of Things (IOT)', 'Raspberry Pi']","['Introduction to the Internet of Things and Embedded Systems', 'The Arduino Platform and C Programming', 'Interfacing with the Arduino', 'The Raspberry Pi Platform and Python Programming for the Raspberry Pi', 'Interfacing with the Raspberry Pi', 'Programming for the Internet of Things Project']",['Ian Harris'],"['University of California, Irvine']",Physical Science and Engineering,https://www.coursera.org/specializations/iot
Power Electronics Specialization,4.8,Intermediate level,2 months at 10 hours a week,Flexible schedule,"3,066 reviews",,"['Understand the fundamentals of magnetic components including inductors and transformers', 'Design and optimize inductors and transformers for switched-mode power converters', 'Analyze and model losses in magnetic components']","['Introduction to Power Electronics', 'Converter Circuits', 'Converter Control', 'Magnetics for Power Electronic Converters']",['Dr. Robert Erickson'],['University of Colorado Boulder'],Physical Science and Engineering,https://www.coursera.org/specializations/power-electronics
CAD and Digital Manufacturing Specialization,4.7,Intermediate level,2 months at 10 hours a week,Flexible schedule,"3,820 reviews",,"['Computer-Aided Design (CAD)', 'Autodesk', 'Manufacturing Processes', 'Sustainable Design']","['Intro to Digital Manufacturing with Autodesk Fusion 360', 'Autodesk Fusion 360 Integrated CAD/CAM/CAE', '3D Model Creation with Autodesk Fusion 360', 'Engineering Design Process with Autodesk Fusion 360', 'Manufacturing Process with Autodesk Fusion 360']",[],['Autodesk'],Physical Science and Engineering,https://www.coursera.org/specializations/cad-design-digital-manufacturing
Fundamentals of Engineering Exam Review,4.7,,Approx. 21 hours to complete,Flexible schedule,603 reviews,,[],"['ABOUT THIS COURSE', 'Mathematics', 'Probability and Statistics', 'Statics', 'Mechanics of Materials', 'Fluid Mechanics', 'Hydraulics and Hydrologic Systems', 'Structural Analysis']",['Dr. Philip Roberts'],['Georgia Institute of Technology'],Physical Science and Engineering,https://www.coursera.org/learn/fe-exam
