Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
Financial Markets,4.8,Beginner level,Approx. 33 hours to complete,Flexible schedule,"26,485 reviews",,"['Behavioral Finance', 'Financial Markets', 'Finance', 'Behavioral Economics']","['Module 1', 'Module 2', 'Module 3', 'Module 4', 'Module 5', 'Module 6', 'MODULE 7']",['Robert Shiller'],['Yale University'],Business,https://www.coursera.org/learn/financial-markets-global
Business Foundations Specialization,4.7,Beginner level,2 months at 10 hours a week,Flexible schedule,"17,963 reviews","Understand branding and go-to-market strategiesRead income statements, balance sheets, and cash flow statementsManage people through motivation and reward systemsAnalyze and improve business processes in services or manufacturing","['Financial Accounting', 'Accounting', 'Financial Statement', 'Balance Sheet', 'Decision-Making', 'Change Management', 'Human Resources (HR)', 'Process Management', 'Operations Management', 'Six Sigma', 'Inventory', 'Finance', 'Marketing', 'Positioning (Marketing)', 'Marketing Strategy', 'Customer Satisfaction', 'Discounted Cash Flow', 'Corporate Finance', 'Cash Flow Analysis']","['Introduction to Marketing', 'Introduction to Financial Accounting', 'Managing Social and Human Capital', 'Introduction to Corporate Finance', 'Introduction to Operations Management', 'Wharton Business Foundations Capstone']","['Barbara E. Kahn', 'Michael Useem', 'Michael R Roberts', 'Jagmohan Raju', 'Peter Cappelli', 'Brian J Bushee', 'Christian Terwiesch', 'Peter Fader']",['University of Pennsylvania'],Business,https://www.coursera.org/specializations/wharton-business-foundations
Business Analysis & Process Management,4.4,Beginner level,2 hours,,"2,683 reviews","Analyze business processes and find solutions to existing business problemsDefine your business processes, their objectives and how they flow within the organizational contextEvaluate the current business from a process view, break down the problems, and find an applicable business solution.","['Proficient English language', 'Business background', 'Computer literacy']",['Learn step-by-step'],['Mahi Ismail'],['Coursera Project Network'],Business,https://www.coursera.org/projects/business-analysis-process-management
Launch Your Online Business,4.8,Beginner level,Approx. 16 hours to complete,Flexible schedule,515 reviews,,[],"['Let’s Start with the Basics of an Online Business', 'A Deeper Dive into Creating an Online Business ', 'Preparing Your Online Business Launch', 'Successful Launch of Your Online Business. Now what? ']",['Joan Decollibus'],['The State University of New York'],Business,https://www.coursera.org/learn/launch-online-business
Entrepreneurship Specialization,4.8,Beginner level,1 months at 10 hours a week,Flexible schedule,"4,904 reviews",,"['Growth Strategies', 'Exit Strategy', 'Finance', 'Entrepreneurship']","['Entrepreneurship 1: Developing the Opportunity', 'Entrepreneurship 2: Launching your Start-Up', 'Entrepreneurship 3: Growth Strategies', 'Entrepreneurship 4: Financing and Profitability', 'Wharton Entrepreneurship Capstone']","['Lori Rosenkopf', 'Kartik Hosanagar', 'David Hsu', 'Karl  T. Ulrich', 'Ethan Mollick']",['University of Pennsylvania'],Business,https://www.coursera.org/specializations/wharton-entrepreneurship
Corporate Strategy ,4.8,Beginner level,Approx. 10 hours to complete,Flexible schedule,"2,005 reviews",,[],"['Corporate Advantage', 'Diversification', 'Divestiture', 'Corporate Headquarters']",['Bart Vanneste'],"['University of London', 'UCL School of Management']",Business,https://www.coursera.org/learn/corporatestrategy
Successful Negotiation: Essential Strategies and Skills,4.8,Beginner level,Approx. 17 hours to complete,Flexible schedule,"18,974 reviews",Understand the negotiation strategies and skills necessary for success.Use a negotiation analysis to prepare for negotiations.Key psychological tools to achieve success.Practice negotiations to find out what you do well and how you can improve. ,"['Negotiation Analysis', 'Negotiation', 'Developing Power', 'Decision Trees', 'Psychological Tools']","['Welcome to Successful Negotiation!', 'Prepare: Plan Your Negotiation Strategy', 'Negotiate: Use Key Tactics for Success', 'Close: Create a Contract', 'Perform and Evaluate: The End Game', 'Practice Your Negotiation Skills with an Interactive Experience and Live Negotiations', 'Final Examination']",['George Siedel'],['University of Michigan'],Business,https://www.coursera.org/learn/negotiation-skills
International Business I,4.7,,Approx. 7 hours to complete,Flexible schedule,"1,997 reviews",,"['Environmental Economics', 'Global Marketing', 'Trading', 'Market (Economics)']","['Week 1', 'Week 2', 'Week 3', 'Week 4', 'Week 5', 'Week 6']","['Doug E Thomas, Ph.D.']",['University of New Mexico'],Business,https://www.coursera.org/learn/international-business
Business and Marketing Strategies Specialization,4.4,Beginner level,2 months at 10 hours a week,Flexible schedule,149 reviews,,[],"['Fundamentals of Marketing Strategy', 'Fundamentals of International Business', 'Operations Systems Excellence', 'Consumption, Marketing and Culture']","['Alan Pilkington', 'Alan Bradshaw', 'Dominic Appiah', 'Mariya Eranova']",['University of London'],Business,https://www.coursera.org/specializations/uol-business-and-marketing-strategies
Business Analytics Specialization,4.6,Beginner level,1 months at 10 hours a week,Flexible schedule,"16,230 reviews",Explain how data is used for recruiting and performance evaluationModel supply and demand for various business scenariosSolve business problems with data-driven decision-makingUnderstand the tools used to predict customer behavior,"['Customer Analytics', 'Analytics', 'Business Analytics', 'Decision Tree']","['Customer Analytics', 'Operations Analytics', 'People Analytics', 'Accounting Analytics', 'Business Analytics Capstone']","['Eric Bradlow', 'Wharton Teaching Staff', 'Martine Haas', 'Christopher D. Ittner', 'Senthil Veeraraghavan', 'Ron Berman', 'Brian J Bushee', 'Peter Fader', 'Sergei Savin', 'Raghu Iyengar', 'Cade Massey', 'Noah Gans', 'Matthew Bidwell']",['University of Pennsylvania'],Business,https://www.coursera.org/specializations/business-analytics
