Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
Methods and Statistics in Social Sciences Specialization,4.6,Beginner level,3 months at 10 hours a week,Flexible schedule,"4,077 reviews",,"['Statistics', 'Statistical Inference', 'R Programming', 'Qualitative Research']","['Quantitative Methods', 'Qualitative Research Methods', 'Basic Statistics', 'Inferential Statistics', 'Methods and Statistics in Social Science - Final Research Project']","['Matthijs Rooduijn', 'Annemarie Zand Scholten', 'Gerben Moerman', 'Emiel van Loon']",['University of Amsterdam'],Social Sciences,https://www.coursera.org/specializations/social-science
Social Psychology,4.7,Beginner level,Approx. 38 hours to complete,Flexible schedule,"4,719 reviews",,[],"['WEEK 1: Social Perceptions and Misperceptions', 'WEEK 2: The Psychology of Self-Presentation and Persuasion', 'WEEK 3: Obedience, Conformity, and Deindividuation', 'WEEK 4: Group Behavior: The Good, Bad, and Ugly', 'WEEK 5: Mid-Course Break', 'WEEK 6: Helping, Hurting, and Peacemaking', 'WEEK 7: A Happy End to the Course']",['Scott Plous'],['Wesleyan University'],Social Sciences,https://www.coursera.org/learn/social-psychology
Classical Sociological Theory ,4.9,,Approx. 13 hours to complete,Flexible schedule,"2,773 reviews",,[],"['Session 1: Classical Sociological Theory - An Introduction', 'Session 2: Bernard Mandeville (1670-1733) and Adam Smith (1723-1790)', 'Session 3: Auguste Comte (1798-1857)', 'Session 4: Alexis de Tocqueville (1805-1859)', 'Session 5: Karl Marx (1818-1883)', 'Session 6: Émile Durkheim (1858-1917)', 'Session 7: Max Weber (1864-1920)', 'Session 8: Norbert Elias (1897-1990)', 'Classical Sociological Theory Final Test']","['Danny de Vries', 'Bart van Heerikhuizen']",['University of Amsterdam'],Social Sciences,https://www.coursera.org/learn/classical-sociological-theory
Narrative Economics,4.8,Beginner level,Approx. 5 hours to complete,Flexible schedule,381 reviews,How and why certain stories go viral.How viral narratives shape public beliefs and influence our decision making. ,"['Economics', 'Research Methods', 'History', 'Financial Markets', 'Storytelling']","['Introduction', 'Seven Propositions of  Narrative Economics', 'Perennial Economic Narratives ', 'Consilience ']",['Robert Shiller'],['Yale University'],Social Sciences,https://www.coursera.org/learn/narrative-economics
Microeconomics Principles,4.8,Beginner level,Approx. 26 hours to complete,Flexible schedule,"2,919 reviews",Identifying hidden costs of anything,"['Economics', 'Critical Thinking', 'Microeconomics', 'Economic Analysis']","['Course Orientation', 'Introduction and Basic Principles', 'Supply and Demand', 'Market Efficiency and Government Policies', 'Elasticities', 'Production and Costs', 'Competitive Output', 'Firms with Market Power', 'Public Goods, Common Resources, and Externalities']",['Dr. José J. Vázquez-Cognet'],['University of Illinois at Urbana-Champaign'],Social Sciences,https://www.coursera.org/learn/microeconomics
Moral Foundations of Politics ,4.9,,Approx. 44 hours to complete,Flexible schedule,"5,560 reviews",,[],"['Welcome to Moral Foundations of Politics ', 'Enlightenment Political Theory', 'Utilitarianism: Classical and Neoclassical', 'Marxism, Its Failures and Its Legacy', 'The Social Contract Tradition I', 'The Social Contract Tradition II', 'Anti-Enlightenment Politics', 'Democracy']",['Ian Shapiro'],['Yale University'],Social Sciences,https://www.coursera.org/learn/moral-politics
Introduction to Communication Science,4.7,,Approx. 10 hours to complete,Flexible schedule,"1,828 reviews",,[],"['The Beginnings of Communication Science', 'Technical Approaches to Communication Science', 'Cultural and Social Approaches to Communication Science', 'Final Exam']",['Rutger de  Graaf'],['University of Amsterdam'],Social Sciences,https://www.coursera.org/learn/communication
Computational Social Science Specialization,4.7,Beginner level,2 months at 10 hours a week,Flexible schedule,536 reviews,"Discover how social networks and human dynamics create social systems and recognizable patternsDefine and discuss big data opportunities and limitationsWeb scrape online data, create a social network visualization with it, and use machine learning to analyze its content  Use computer simulations to program your own artificial societies to explore business strategies and policy options",[],"['Computational Social Science Methods', 'Big Data, Artificial Intelligence, and Ethics', 'Social Network Analysis', 'Computer Simulations', 'Computational Social Science Capstone Project']",['Martin Hilbert'],"['University of California, Davis']",Social Sciences,https://www.coursera.org/specializations/computational-social-science-ucdavis
Anti-Racism Specialization,4.7,Beginner level,1 months at 10 hours a week,Flexible schedule,52 reviews,"By completing this specialization, you will be able to participate in and guide conversations about race, racism, and anti-racism.You will be able to describe the historical and linguistic constructions of race and racism in the United States and define intersectionality.You will be able to engage in anti-racist practices and design a community outreach project.","['History of Race and Racism', 'anti-racism', 'Intersectionality', 'Community Outreach', 'Talkikng about Race and Racism']","['Anti-Racism I', 'Anti-Racism II', 'Anti-Racism III']","['Shawn', 'Jennifer']",['University of Colorado Boulder'],Social Sciences,https://www.coursera.org/specializations/anti-racism
Studying Cities: Social Science Methods for Urban Research,4.7,,Approx. 7 hours to complete,Flexible schedule,214 reviews,,[],"['Research Topic', 'Theoretical Framework and Operationalization', 'Research Strategies', 'Quantitative and Qualitative Data', 'Quantitative and Qualitative Analysis']","['Jan Fransen', 'Rick Wolff', 'Dorcas Nthoki', 'Maria Zwanenburg', 'Laura Neijenhuis']",['Erasmus University Rotterdam'],Social Sciences,https://www.coursera.org/learn/studying-cities-social-science-methods-for-urban-research
International Leadership and Organizational Behavior,4.8,,Approx. 16 hours to complete,Flexible schedule,"3,136 reviews",,"['Social Network', 'Leadership', 'Management', 'Cross-Cultural Communication']","['LEADERSHIP ACUMEN', 'NAVIGATING CULTURE', 'COMMUNICATING EFFECTIVELY', 'MOTIVATING FOLLOWERS', 'BUILDING PROFESSIONAL NETWORKS', 'MANAGING CONFLICTS']",['Franz Wohlgezogen'],['Università Bocconi'],Social Sciences,https://www.coursera.org/learn/organizational-behavior
Ethical Social Media ,4.5,,Approx. 11 hours to complete,Flexible schedule,109 reviews,,[],"['Social Media Concepts', 'Collaborative Practices of Social Media Users', 'Participatory Culture and Media Organisations', 'Social Media Data Analytics', 'Ethics in Social Media']",['Dr Jonathon Hutchinson'],['The University of Sydney'],Social Sciences,https://www.coursera.org/learn/ethical-social-media
Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,4.6,,Approx. 11 hours to complete,Flexible schedule,"1,354 reviews",,[],"['Philosophy and the Sciences Part 1', 'Stone-age minds in modern skulls: evolutionary theory and the philosophy of mind (Suilin Lavelle and Kenny Smith)', 'What is consciousness? (Mark Sprevak and David Carmel)', 'Intelligent machines and the human brain (Mark Sprevak and Peggy Series)', 'Embodied cognition (Andy Clark and Barbara Webb)']","['Dr Mark Sprevak', 'Professor John Peacock', 'Dr. Alasdair Richmond', 'Dr. Suilin Lavelle', 'Professor Duncan Pritchard', 'Professor Barbara Webb', 'Dr Kenny Smith', 'Dr Peggy Series', 'Professor Andy Clark', 'Dr David Carmel', ' Professor Michela Massimi']",['The University of Edinburgh'],Social Sciences,https://www.coursera.org/learn/philosophy-cognitive-sciences
