Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
Business Analytics with Excel: Elementary to Advanced,4.8,Intermediate level,Approx. 23 hours to complete,Flexible schedule,"1,454 reviews",,"['Modeling', 'Spreadsheet', 'Microsoft Excel', 'Business Analytics', 'Solver']","['Introduction to Excel: Basics and Best Practices', 'What-If Analysis in Excel', 'Decision Analysis through Regression and NPV', 'Linear Programming', 'Transportation and Assignment Problems', 'Integer Programming and Nonlinear Programming']","['Joseph W. Cutrone, PhD']",['Johns Hopkins University'],Math and Logic,https://www.coursera.org/learn/business-analytics-excel
Fundamentals of Quantitative Modeling,4.6,,7 hours (approximately),Flexible schedule,"8,683 reviews",,"['Modeling', 'Linear Regression', 'Probabilistic Models', 'Regression Analysis']","['Module 1: Introduction to Models ', 'Module 2: Linear Models and Optimization', 'Module 3: Probabilistic Models', 'Module 4: Regression Models']",['Richard Waterman'],['University of Pennsylvania'],Math and Logic,https://www.coursera.org/learn/wharton-quantitative-modeling
SQL for Data Science,4.6,Beginner level,18 hours (approximately),Flexible schedule,"15,877 reviews","Identify a subset of data needed from a column or set of columns and write a SQL query to limit to those results.Use SQL commands to filter, sort, and summarize data.Create an analysis table from multiple queries using the UNION operator.Manipulate strings, dates, & numeric data using functions to integrate data from different sources into fields with the correct format for analysis.","['Data Science', 'Data Analysis', 'Sqlite', 'SQL']","['Getting Started and Selecting & Retrieving Data with SQL', 'Filtering, Sorting, and Calculating Data with SQL', 'Subqueries and Joins in SQL', 'Modifying and Analyzing Data with SQL']",['Sadie St. Lawrence'],"['University of California, Davis']",Math and Logic,https://www.coursera.org/learn/sql-for-data-science
Finanzas corporativas Specialization,4.6,Intermediate level,2 months at 10 hours a week,Flexible schedule,"1,820 reviews",,"['Mathematical Finance', 'Corporate Finance', 'Microsoft Excel', 'Finance']","['Administración financiera y su función en la empresa ', 'Matemáticas financieras', 'Evaluación de inversiones en Bienes de Capital ', 'Estructura de capital y política de dividendos', 'Valuación de empresas ', 'Toma de decisiones financieras']","['Carlos Martínez de la Fuente', 'Norman Wolf del Valle', 'Pedro Licea Vergara ', 'Dr. Gonzálo Antonio Luna Guerra']",['Universidad Nacional Autónoma de México'],Math and Logic,https://www.coursera.org/specializations/finanzascorporativas
Introduction to Programming with MATLAB,4.8,Beginner level,35 hours (approximately),Flexible schedule,"17,334 reviews","You will learn fundamental computer programming concepts such as variables, control structures, functions and many others.You will learn about various data types and how to handle them in MATLAB.You will learn the powerful support MATLAb provides for working with matrices.You will learn about file input/output.","['Computer Programming', 'Problem Solving', 'Matlab', 'Programming Language']","['Course Pages', 'The MATLAB Environment', 'Matrices and Operators', 'Functions', ""Programmer's Toolbox"", 'Selection', 'Loops', 'Data Types', 'File Input/Output']","['Mike Fitzpatrick', 'Akos Ledeczi']",['Vanderbilt University'],Math and Logic,https://www.coursera.org/learn/matlab
Deep Neural Networks with PyTorch,4.4,Intermediate level,32 hours (approximately),Flexible schedule,"1,532 reviews",Demonstrate your comprehension of deep learning algorithims and implement them using Pytorch. Explain and apply knowledge of Deep Neural Networks and related machine learning methods.Describe how to use Python libraries such as PyTorch for Deep Learning applications.Build Deep Neural Networks using PyTorch.,[],"['Tensor and Datasets ', 'Linear Regression', 'Linear Regression PyTorch Way', 'Multiple Input Output Linear Regression ', 'Logistic Regression for Classification', 'Softmax Rergresstion ', 'Shallow Neural Networks', 'Deep Networks ', 'Convolutional Neural Network', 'Peer Review ']",['Joseph Santarcangelo'],['IBM'],Math and Logic,https://www.coursera.org/learn/deep-neural-networks-with-pytorch
Mathematics for Machine Learning: Multivariate Calculus,4.7,Beginner level,17 hours (approximately),Flexible schedule,"5,524 reviews",,"['Linear Regression', 'Vector Calculus', 'Multivariable Calculus', 'Gradient Descent']","['What is calculus?', 'Multivariate calculus', 'Multivariate chain rule and its applications', 'Taylor series and linearisation', 'Intro to optimisation', 'Regression']","['Samuel J. Cooper', 'David Dye', 'A.\xa0Freddie Page']",['Imperial College London'],Math and Logic,https://www.coursera.org/learn/multivariate-calculus-machine-learning
Mathematics for Machine Learning: PCA,4.0,Intermediate level,20 hours (approximately),Flexible schedule,"3,027 reviews",Implement mathematical concepts using real-world dataDerive PCA from a projection perspectiveUnderstand how orthogonal projections workMaster PCA,"['Dimensionality Reduction', 'Python Programming', 'Linear Algebra']","['Statistics of Datasets', 'Inner Products', 'Orthogonal Projections', 'Principal Component Analysis']",['Marc Peter Deisenroth'],['Imperial College London'],Math and Logic,https://www.coursera.org/learn/pca-machine-learning
Introduction to Applied Cryptography Specialization,4.6,Beginner level,1 months at 10 hours a week,Flexible schedule,435 reviews,,"['Cryptosystem', 'Cryptographic Hash Function (CRHF)', 'Modular Exponentiation']","['Classical Cryptosystems and Core Concepts', 'Mathematical Foundations for Cryptography', 'Symmetric Cryptography', 'Asymmetric Cryptography and Key Management']","['Sang-Yoon Chang', 'Richard White', 'William Bahn']",['University of Colorado System'],Math and Logic,https://www.coursera.org/specializations/introduction-applied-cryptography
用 Python 做商管程式設計（一）(Programming for Business Computing in Python (1)),4.9,Beginner level,Approx. 13 hours to complete,Flexible schedule,829 reviews,,[],"['什麼是「資訊管理」：資訊科技的商管應用', 'Python 程式設計初探', '條件式選擇與程式碼排版', '電腦運作基本原理與迴圈結構', '清單資料結構與作業管理演算法']",['孔令傑 (Ling-Chieh Kung)'],['National Taiwan University'],Math and Logic,https://www.coursera.org/learn/pbc1
