Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
IBM Data Science Professional Certificate,4.6,Beginner level,5 months at 10 hours a week,Flexible schedule,"68,453 reviews","Master the most up-to-date practical skills and knowledge that data scientists use in their daily rolesLearn the tools, languages, and libraries used by professional data scientists, including Python and SQLImport and clean data sets, analyze and visualize data, and build machine learning models and pipelinesApply your new skills to real-world projects and build a portfolio of data projects that showcase your proficiency to employers","['Data Science', 'Big Data', 'Python Programming', 'Github', 'Machine Learning', 'Deep Learning', 'Methodology', 'SQL', 'Rstudio', 'Data Mining', 'Jupyter notebooks']","['What is Data Science? ', 'Tools for Data Science', 'Data Science Methodology', 'Python for Data Science, AI & Development', 'Python Project for Data Science', 'Databases and SQL for Data Science with Python', 'Data Analysis with Python', 'Data Visualization with Python', 'Machine Learning with Python', 'Applied Data Science Capstone']","['Dr. Pooja', 'Yan Luo', 'Svetlana Levitan', 'SAEED AGHABOZORGI', 'Hima Vasudevan', 'Joseph Santarcangelo', 'Polong Lin', 'Romeo Kienzler', 'Rav Ahuja', 'Aije Egwaikhide', 'Alex Aklson', 'Saishruthi Swaminathan', 'Azim Hirjani']",['IBM'],DataScience,https://www.coursera.org/professional-certificates/ibm-data-science
Data Science Specialization,4.5,Beginner level,7 months at 10 hours a week,Flexible schedule,"38,691 reviews","Use R to clean, analyze, and visualize data.Navigate the entire data science pipeline from data acquisition to publication. Use GitHub to manage data science projects.Perform regression analysis, least squares and inference using regression models.","['Github', 'Machine Learning', 'R Programming', 'Regression Analysis']","['The Data Scientist’s Toolbox', 'R Programming', 'Getting and Cleaning Data', 'Exploratory Data Analysis', 'Reproducible Research', 'Statistical Inference', 'Regression Models', 'Practical Machine Learning', 'Developing Data Products', 'Data Science Capstone']","['Brian Caffo, PhD', 'Jeff Leek, PhD', 'Roger D. Peng, PhD']",['Johns Hopkins University'],DataScience,https://www.coursera.org/specializations/jhu-data-science
Google Data Analytics Professional Certificate,4.8,Beginner level,6 months at 10 hours a week,Flexible schedule,"130,425 reviews","Gain an immersive understanding of the practices and processes used by a junior or associate data analyst in their day-to-day jobLearn key analytical skills (data cleaning, analysis, & visualization) and tools (spreadsheets, SQL, R programming, Tableau) Understand how to clean and organize data for analysis, and complete analysis and calculations using spreadsheets, SQL and R programmingLearn how to visualize and present data findings in dashboards, presentations and commonly used visualization platforms","['Data Analysis', 'Creating case studies', 'Data Visualization', 'Data Cleansing', 'Developing a portfolio', 'Data Collection', 'Spreadsheet', 'Metadata', 'SQL', 'Data Ethics', 'Data Aggregation', 'Data Calculations', 'R Markdown', 'R Programming', 'Rstudio', 'Tableau Software', 'Presentation', 'Data Integrity', 'Sample Size Determination', 'Decision-Making', 'Problem Solving', 'Questioning']","['Foundations: Data, Data, Everywhere', 'Ask Questions to Make Data-Driven Decisions', 'Prepare Data for Exploration', 'Process Data from Dirty to Clean', 'Analyze Data to Answer Questions', 'Share Data Through the Art of Visualization', 'Data Analysis with R Programming', 'Google Data Analytics Capstone: Complete a Case Study']",['Google Career Certificates'],['Google'],DataScience,https://www.coursera.org/professional-certificates/google-data-analytics
"Python for Data Science, AI & Development",4.6,Beginner level,26 hours (approximately),Flexible schedule,"34,702 reviews","Learn Python - the most popular programming language and for Data Science and Software Development.Apply Python programming logic Variables, Data Structures, Branching, Loops, Functions, Objects & Classes.Demonstrate proficiency in using Python libraries such as Pandas & Numpy, and developing code using Jupyter Notebooks.Access and web scrape data using APIs and Python libraries like Beautiful Soup. ","['Data Science', 'Data Analysis', 'Python Programming', 'Numpy', 'Pandas']","['Python Basics ', 'Python Data Structures ', 'Python Programming Fundamentals ', 'Working with Data in Python ', 'APIs, and Data Collection']",['Joseph Santarcangelo'],['IBM'],DataScience,https://www.coursera.org/learn/python-for-applied-data-science-ai
Applied Data Science with Python Specialization,4.5,Intermediate level,4 months at 10 hours a week,Flexible schedule,"25,911 reviews",Conduct an inferential statistical analysisDiscern whether a data visualization is good or badEnhance a data analysis with applied machine learningAnalyze the connectivity of a social network,"['Text Mining', 'Python Programming', 'Pandas', 'Matplotlib']","['Introduction to Data Science in Python', 'Applied Plotting, Charting & Data Representation in Python', 'Applied Machine Learning in Python', 'Applied Text Mining in Python', 'Applied Social Network Analysis in Python']","['Christopher Brooks', 'Kevyn Collins-Thompson', 'Daniel Romero', 'V. G. Vinod Vydiswaran']",['University of Michigan'],DataScience,https://www.coursera.org/specializations/data-science-python
What is Data Science? ,4.7,Beginner level,11 hours (approximately),Flexible schedule,"67,257 reviews",Define data science and its importance in today’s data-driven world.Describe the various paths that can lead to a career in data science. Summarize  advice given by seasoned data science professionals to data scientists who are just starting out.Explain why data science is considered the most in-demand job in the 21st century. ,"['Data Science', 'Big Data', 'Machine Learning', 'Deep Learning', 'Data Mining']","['Defining Data Science and What Data Scientists Do', 'Data Science Topics', 'Applications and Careers in Data Science', 'Data literacy for Data Science (Optional)']","['Alex Aklson', 'Rav Ahuja']",['IBM'],DataScience,https://www.coursera.org/learn/what-is-datascience
Introduction to Data Science Specialization,4.7,Beginner level,1 months at 10 hours a week,Flexible schedule,"12,363 reviews","Describe what data science and machine learning are, their applications & use cases, and various types of tasks performed by data scientists  Gain hands-on familiarity with common data science tools including JupyterLab, R Studio, GitHub and Watson Studio Develop the mindset to work like a data scientist, and follow a methodology to tackle different types of data science problemsWrite SQL statements and query Cloud databases using Python from Jupyter notebooks","['Data Science', 'Python Programming', 'Cloud Databases', 'SQL', 'Relational Database Management System (RDBMS)']","['What is Data Science? ', 'Tools for Data Science', 'Data Science Methodology', 'Databases and SQL for Data Science with Python']","['Svetlana Levitan', 'Hima Vasudevan', 'Polong Lin', 'Romeo Kienzler', 'Rav Ahuja', 'Aije Egwaikhide', 'Alex Aklson']",['IBM'],DataScience,https://www.coursera.org/specializations/introduction-data-science
Foundations of Data Science,4.7,Advanced level,26 hours (approximately),Flexible schedule,"1,514 reviews",Understand common careers and industries that use advanced data analyticsInvestigate the impact data analysis can have on decision-makingExplain how data professionals preserve data privacy and ethics Develop a project plan considering roles and responsibilities of team members,"['Project Management', 'Sharing Insights With Stakeholders', 'Cross-Functional Team Dynamics', 'Asking Effective Questions', 'Effective Written Communication']","['Introduction to data science concepts', 'The impact of data today', 'Your career as a data professional ', 'Data applications and workflow', 'Course 1 end-of-course project']",['Google Career Certificates'],['Google'],DataScience,https://www.coursera.org/learn/foundations-of-data-science
Data Science Math Skills,4.5,Beginner level,Approx. 13 hours to complete,Flexible schedule,"11,576 reviews",,"[""Bayes' Theorem"", 'Bayesian Probability', 'Probability', 'Probability Theory']","['Welcome to Data Science Math Skills', 'Building Blocks for Problem Solving', 'Functions and Graphs', 'Measuring Rates of Change', 'Introduction to Probability Theory']","['Paul Bendich', 'Daniel Egger']",['Duke University'],DataScience,https://www.coursera.org/learn/datasciencemathskills
IBM Data Analyst Professional Certificate,4.7,Beginner level,4 months at 10 hours a week,Flexible schedule,"16,706 reviews","Master the most up-to-date practical skills and tools that data analysts use in their daily rolesLearn how to visualize data and present findings using various charts in Excel spreadsheets and BI tools like IBM Cognos Analytics & TableauDevelop working knowledge of Python language for analyzing data using Python libraries like Pandas and Numpy, and invoke APIs and Web Services Gain technical experience through hands on labs and projects and build a portfolio to showcase your work","['Data Science', 'Spreadsheet', 'Data Analysis', 'Python Programming', 'Microsoft Excel', 'IBM Cognos Analytics', 'Dashboard', 'SQL', 'Numpy', 'Pandas', 'Data Visualization', 'Pivot Table']","['Introduction to Data Analytics', 'Excel Basics for Data Analysis', 'Data Visualization and Dashboards with Excel and Cognos', 'Python for Data Science, AI & Development', 'Python Project for Data Science', 'Databases and SQL for Data Science with Python', 'Data Analysis with Python', 'Data Visualization with Python', 'IBM Data Analyst Capstone Project']","['Dr. Pooja', 'Sandip Saha Joy', 'Kevin McFaul', 'Steve Ryan', 'Hima Vasudevan', 'Joseph Santarcangelo', 'Rav Ahuja', 'Saishruthi Swaminathan', 'Azim Hirjani']",['IBM'],DataScience,https://www.coursera.org/professional-certificates/ibm-data-analyst
Advanced Data Science with IBM Specialization,4.4,Advanced level,2 months at 10 hours a week,Flexible schedule,"2,379 reviews",,"['Data Science', 'Internet Of Things (IOT)', 'Deep Learning', 'Apache Spark']","['Fundamentals of Scalable Data Science', 'Advanced Machine Learning and Signal Processing', 'Applied AI with DeepLearning', 'Advanced Data Science Capstone']","['Niketan Pansare', 'Ilja Rasin', 'Tom Hanlon', 'Max Pumperla', 'Romeo Kienzler', 'Nikolay Manchev']",['IBM'],DataScience,https://www.coursera.org/specializations/advanced-data-science-ibm
Executive Data Science Specialization,4.5,Beginner level,1 months at 10 hours a week,Flexible schedule,"7,153 reviews","Become conversant in the field and understand your role as a leader.Recruit, assemble, evaluate, and develop a team with complementary skill sets and roles.Navigate the structure of the data science pipeline by understanding the goals of each stage and keeping your team on target throughout.Overcome the common challenges that frequently derail data science projects.","['Data Science', 'Data Analysis', 'Communication', 'Leadership', 'Data Management']","['A Crash Course in Data Science', 'Building a Data Science Team', 'Managing Data Analysis', 'Data Science in Real Life', 'Executive Data Science Capstone']","['Brian Caffo, PhD', 'Jeff Leek, PhD', 'Roger D. Peng, PhD']",['Johns Hopkins University'],DataScience,https://www.coursera.org/specializations/executive-data-science
Google Advanced Data Analytics Professional Certificate,4.8,Advanced level,6 months at 10 hours a week,Flexible schedule,"2,130 reviews",Explore the roles of data professionals within an organization Create data visualizations and apply statistical methods to investigate dataBuild regression and machine learning models to analyze and interpret dataCommunicate insights from data analysis to stakeholders,"['Data Science', 'Data Analysis', 'Python Programming', 'Jupyter Notebook', 'Machine Learning', 'Statistical Analysis', 'Tableau Software', 'Data Visualization', 'Predictive Modelling', 'Kaggle', 'Exploratory Data Analysis (EDA)', 'Regression Models']","['Foundations of Data Science', 'Get Started with Python', 'Go Beyond the Numbers: Translate Data into Insights', 'The Power of Statistics', 'Regression Analysis: Simplify Complex Data Relationships', 'The Nuts and Bolts of Machine Learning', 'Google Advanced Data Analytics Capstone']",['Google Career Certificates'],['Google'],DataScience,https://www.coursera.org/professional-certificates/google-advanced-data-analytics
Data Science Methodology,4.6,Beginner level,6 hours (approximately),Flexible schedule,"19,780 reviews","Describe what a data science methodology is and why data scientists need a methodology.Apply the six stages in the Cross-Industry Process for Data Mining (CRISP-DM) methodology to analyze a case study.Evaluate which analytic model is appropriate among predictive, descriptive, and classification models used to analyze a case study.Determine appropriate data sources for your data science analysis methodology.","['Data Science', 'Data Analysis', 'CRISP-DM', 'Methodology', 'Data Mining']","['From Problem to Approach and From Requirements to Collection', 'From Understanding to Preparation and From Modeling to Evaluation', 'From Deployment to Feedback and Final Evaluation', 'Final Project and Assessment']","['Alex Aklson', 'Polong Lin']",['IBM'],DataScience,https://www.coursera.org/learn/data-science-methodology
A Crash Course in Data Science,4.5,Beginner level,8 hours (approximately),Flexible schedule,"8,126 reviews",Describe Data Science’s role in various contextsUnderstand how Statistics and Machine Learning affect Data ScienceUse the key terms used by data scientistPredict whether a Data Science project will be successful,"['Data Science', 'Data Analysis', 'Machine Learning', 'Project']",['A Crash Course in Data Science'],"['Brian Caffo, PhD', 'Roger D. Peng, PhD', 'Jeff Leek, PhD']",['Johns Hopkins University'],DataScience,https://www.coursera.org/learn/data-science-course
Applied Data Science Specialization,4.6,Beginner level,2 months at 10 hours a week,Flexible schedule,"7,406 reviews",Develop an understanding of Python fundamentalsGain practical Python skills and apply them to data analysisCommunicate data insights effectively through data visualizationsCreate a project demonstrating your understanding of applied data science techniques and tools,"['Model Selection', 'Data Analysis', 'Python Programming', 'Data Visualization', 'Predictive Modelling', 'Dashboards and Charts', 'dash', 'Matplotlib', 'Data Science', 'Pandas', 'Jupyter notebooks', 'Numpy', 'Github', 'Jupyter Notebook', 'K-Means Clustering', 'Methodology', 'Data Science Methodology']","['Python for Data Science, AI & Development', 'Python Project for Data Science', 'Data Analysis with Python', 'Data Visualization with Python', 'Applied Data Science Capstone']","['Dr. Pooja', 'Yan Luo', 'Joseph Santarcangelo', 'Saishruthi Swaminathan', 'Azim Hirjani']",['IBM'],DataScience,https://www.coursera.org/specializations/applied-data-science
Introduction to Data Analytics,4.8,Beginner level,10 hours (approximately),Flexible schedule,"14,036 reviews","Explain what Data Analytics is and the key steps in the Data Analytics processDifferentiate between different data roles such as Data Engineer, Data Analyst, Data Scientist, Business Analyst, and Business Intelligence AnalystDescribe the different types of data structures, file formats, and sources of dataDescribe the data analysis process involving collecting, wrangling, mining, and visualizing data","['Data Science', 'Spreadsheet', 'Data Analysis', 'Microsoft Excel', 'Data Visualization']","['What is Data Analytics', 'The Data Ecosystem', 'Gathering and Wrangling Data', 'Mining & Visualizing Data and Communicating Results', 'Career Opportunities and Data Analysis in Action']",['Rav Ahuja'],['IBM'],DataScience,https://www.coursera.org/learn/introduction-to-data-analytics
