Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
Vital Signs: Understanding What the Body Is Telling Us,4.8,,Approx. 13 hours to complete,Flexible schedule,"6,105 reviews",,"['Dolor Assessment', 'Metabolic Pathways', 'Vital Signs', 'Pain Management']","['Week 1: Pulse/Heart Rate', 'Week 2: Blood Pressure', 'Week 3: Metabolism', 'Week 4: Temperature', 'Week 5: Respiration Rate', 'Week 6: Pain']","['Connie B. Scanga, PhD']",['University of Pennsylvania'],Health,https://www.coursera.org/learn/vital-signs
Stanford Introduction to Food and Health,4.7,Beginner level,Approx. 6 hours to complete,Flexible schedule,"30,572 reviews",,"['Health Informatics', 'Nutrition', 'Food Safety', 'Food Science']","['Background on Food & Nutrients', 'Contemporary Trends in Eating', 'Future Directions in Health - Part I', 'Future Directions in Health - Part 2', 'Cooking Workshop', 'Recommended Optional Resources']","['Maya Adam, MD']",['Stanford University'],Health,https://www.coursera.org/learn/food-and-health
Science of Exercise,4.8,Beginner level,Approx. 9 hours to complete,Flexible schedule,"4,419 reviews","Explain the relationship between exercise and the body's physiological responses, including carbohydrate, fat, and protein metabolismDescribe the role of nutritional choices and their impact on health and trainingSummarize the factors that contribute to muscle soreness, fatigue, and the dangers associated with performance-enhancing drugs","['Training', 'Nutrition', 'Fitness And Nutrition', 'Public Health']","['The Energetics of Exercise', 'Physiological Systems During Exercise', 'Exercise for Fitness & Performance', 'Exercise in Health, Wellness and Disease']","['Robert Mazzeo, Ph.D.']",['University of Colorado Boulder'],Health,https://www.coursera.org/learn/science-exercise
Weight Management: Beyond Balancing Calories,4.7,Beginner level,Approx. 17 hours to complete,Flexible schedule,"1,088 reviews","Understand obesity, appetite hormones, and weight set point.Identify the main dietary factors that affect weight.Recognize underemphasized barriers to weight loss such as stress and inadequate sleep.Develop a weight management plan you can follow for life.",[],"['Understanding Obesity', 'Managing Obesity: The Role of Diet', 'Beyond Diet: The Role of Stress, Exercise, & Sleep', 'Using Habit & Emotions to Your Advantage', 'Creating a Weight Loss Plan: A Step-Wise Approach']","['Sharon Horesh Bergquist, MD']",['Emory University'],Health,https://www.coursera.org/learn/weight-management-beyond-balancing-calories
Anatomy Specialization,4.8,Beginner level,2 months at 10 hours a week,Flexible schedule,"2,829 reviews","Understand the major organ systems, their functions and relationships within the body.","['Gastrointestinal system', 'Cardiovascular system', 'Musculoskeletal system', 'human anatomy', 'Respiratory system']","['Anatomy: Musculoskeletal and Integumentary Systems', 'Anatomy: Cardiovascular, Respiratory and Urinary Systems', 'Anatomy: Human Neuroanatomy', 'Anatomy: Gastrointestinal, Reproductive and Endocrine Systems']","['Kathleen Alsup', 'Glenn M. Fox', 'Kelli Sullivan']",['University of Michigan'],Health,https://www.coursera.org/specializations/anatomy
The Science of Well-Being,4.9,,Approx. 19 hours to complete,Flexible schedule,"37,113 reviews",,"['Gratitude', 'Happiness', 'Meditation', 'Savoring']","['Introduction', 'Misconceptions About Happiness', 'Why Our Expectations are so Bad', 'How Can We Overcome Our Biases', 'Stuff that Really Makes Us Happy', 'Putting Strategies into Practice', 'Start Your Final Rewirement Challenge', 'Continue Your Rewirement Challenge', 'Continue Your Rewirement Challenge', 'Submit Your Final Assignment']",['Laurie Santos'],['Yale University'],Health,https://www.coursera.org/learn/the-science-of-well-being
Diabetes – the Essential Facts,4.7,Beginner level,Approx. 10 hours to complete,Flexible schedule,"2,109 reviews",,[],"['Fundamentals of Diabetes', 'Prevention and Treatment', 'Diabetes in the Future']","['Nicolai Jacob Wewer Albrechtsen', 'Jens Juul Holst', 'Signe Sørensen Torekov']",['University of Copenhagen'],Health,https://www.coursera.org/learn/diabetes-essential-facts
Introductory Human Physiology,4.8,Beginner level,Approx. 35 hours to complete,Flexible schedule,"4,740 reviews",Recognize how the basic organ systems of the body work Apply the basic concepts that govern integrated body function as an intact organism in the nine of the body’s organ systems,"['Metabolic Pathways', 'Biology', 'Organ Systems', 'Medicine', 'Cardiovascular understanding']","['Welcome and Additional Resources', 'Homeostasis and Endocrine System', 'The Nervous System', 'The Senses and the Somatic Nervous System', 'Muscle', 'Cardiovascular System', 'Respiratory System', 'The Endocrine System', 'The Reproductive System', 'The Gastrointestinal System', 'The Urinary System']","['Emma Jakoi', 'Jennifer Carbrey']",['Duke University'],Health,https://www.coursera.org/learn/physiology
Science of Diet and Exercise Specialization,4.6,Intermediate level,1 months at 10 hours a week,Flexible schedule,51 reviews,Apply the science behind complementing dietary interventions with exercise strategies for optimal fitness programming. Learn how our bodies use the foods we consume for different metabolic functions required for health.,"['Nutrition Coaching', 'Metabolic Equivalent of Task (MET) Measurement', 'Diet Types', 'Energy Intake and Expenditure', 'Dietary Interventions', 'Dietary Fat Intake Guidelines', 'Nutrition Science', 'Heathy Eating', 'Diet and Exercise Alignment', 'Weight Management']","['Metabolic Makeover', 'Science of Fat Metabolism', 'Aligning Diet and Exercise']",['NASM Faculty'],['National Academy of Sports Medicine'],Health,https://www.coursera.org/specializations/nasm-science-of-diet-and-exercise
Health Informatics Specialization,4.4,Beginner level,1 months at 10 hours a week,Flexible schedule,624 reviews,"Articulate a coherent problem definition of, and a plan for addressing, a health informatics problem. Answer a health informatics problem through data retrieval and analysis.Design a health informatics solution for decision support.Create a change management and deployment plan for a health informatics intervention.","['Informatics', 'Health Informatics', 'Data Science', 'Decision Support System', 'Health Care']","['The Social and Technical Context of Health Informatics', 'Leading Change in Health Informatics', 'The Outcomes and Interventions of Health Informatics', 'The Data Science of Health Informatics', 'Culminating Project in Health Informatics']","['Paul Nagy, PhD, FSIIM', 'Harold P. Lehmann, MD, Ph.D.', 'Ashwini S. Davison, M.D.', 'Hadi H. K. Kharrazi, MD, Ph.D', 'Sam Meiselman']",['Johns Hopkins University'],Health,https://www.coursera.org/specializations/health-informatics
